(highest, src_addr, src_port, dst_addr, dst_port): count
(TCP, 176.32.103.187, 80, 192.168.2.3, 46364): 2
(SSL, 192.168.2.3, 44397, 31.13.71.3, 443): 24
(TCP, 192.168.2.3, 35641, 63.117.14.218, 443): 12
(HTTP, 192.168.2.3, 39948, 52.11.29.182, 80): 33
(SSL, 192.168.2.3, 43099, 63.117.14.248, 443): 2
(DATA-TEXT-LINES, 172.229.209.43, 80, 192.168.2.3, 57043): 1
(HTTP, 192.168.2.3, 41916, 172.229.228.216, 80): 1
(TCP, 52.22.245.238, 80, 192.168.2.3, 45350): 7
(SSL, 192.168.2.3, 53903, 63.117.14.245, 443): 12
(HTTP, 192.168.2.3, 44327, 52.4.240.219, 80): 1
(SSL, 192.168.2.3, 42727, 63.117.68.22, 443): 63
(DNS, 192.168.2.3, 17932, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 59856, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 15407, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 3041, 192.168.2.1, 53): 1
(TCP, 216.58.219.193, 443, 192.168.2.3, 51251): 5
(SSL, 192.168.2.3, 54767, 54.239.26.196, 443): 3
(SSL, 157.52.75.7, 443, 192.168.2.3, 49611): 11
(HTTP, 52.84.130.179, 80, 192.168.2.3, 34526): 1
(HTTP, 72.21.215.54, 80, 192.168.2.3, 49115): 1
(JSON, 23.235.39.81, 80, 192.168.2.3, 39787): 1
(TCP, 192.168.2.3, 53712, 204.154.111.224, 443): 7
(DNS, 192.168.2.3, 5425, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 37386, 52.84.127.95, 443): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 23200): 1
(TCP, 192.168.2.3, 45343, 52.22.245.238, 80): 6
(TCP, 192.168.2.3, 54108, 172.217.4.46, 443): 10
(TCP, 192.168.2.3, 46222, 23.21.108.3, 443): 7
(DNS, 192.168.2.3, 34680, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 1798): 1
(TCP, 192.168.2.3, 57210, 64.202.112.7, 80): 4
(TCP, 172.217.3.6, 443, 192.168.2.3, 57517): 9
(HTTP, 72.21.215.54, 80, 192.168.2.3, 53804): 3
(IMAGE-GIF, 172.217.2.6, 80, 192.168.2.3, 57087): 1
(SSL, 52.200.43.126, 443, 192.168.2.3, 46076): 4
(TCP, 192.168.2.3, 43295, 172.229.222.223, 80): 8
(HTTP, 64.12.245.38, 80, 192.168.2.3, 42124): 2
(TCP, 192.168.2.3, 60985, 77.72.116.213, 80): 4
(TCP, 192.168.2.3, 33836, 63.117.14.208, 443): 235
(TCP, 98.139.225.42, 443, 192.168.2.3, 39430): 4
(TCP, 192.168.2.3, 43816, 207.171.162.130, 443): 6
(TCP, 54.243.174.202, 80, 192.168.2.3, 49465): 4
(DNS, 192.168.2.3, 19738, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 59569, 70.34.16.45, 443): 11
(TCP, 192.168.2.3, 53576, 63.117.68.16, 443): 5
(DATA-TEXT-LINES, 8.43.72.32, 80, 192.168.2.3, 54688): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 9491): 1
(SSL, 192.168.2.3, 50809, 52.84.121.102, 443): 3
(TCP, 192.168.2.3, 47887, 172.217.5.10, 443): 10
(SSL, 31.13.71.7, 443, 192.168.2.3, 60203): 3059
(SSL, 63.117.14.208, 443, 192.168.2.3, 33835): 16
(SSL, 192.168.2.3, 39795, 162.208.22.76, 443): 2
(SSL, 31.13.71.7, 443, 192.168.2.3, 54547): 7
(HTTP, 74.121.142.178, 80, 192.168.2.3, 37613): 2
(TCP, 192.168.2.3, 39894, 46.236.9.36, 80): 4
(TCP, 54.239.22.240, 443, 192.168.2.3, 38278): 5
(MEDIA, 199.27.76.68, 80, 192.168.2.3, 56391): 6
(DNS, 192.168.2.3, 20848, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 54921, 23.66.206.216, 443): 3
(HTTP, 52.11.29.182, 80, 192.168.2.3, 39945): 34
(DNS, 192.168.2.1, 53, 192.168.2.3, 40809): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 22052): 1
(SSL, 172.229.222.223, 443, 192.168.2.3, 53331): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 33220): 1
(DNS, 192.168.2.3, 22678, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 18013, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 34009, 63.117.14.244, 443): 50
(HTTP, 192.168.2.3, 32815, 72.30.2.182, 80): 1
(SSL, 172.217.5.10, 443, 192.168.2.3, 47887): 9
(DNS, 192.168.2.1, 53, 192.168.2.3, 39425): 1
(DNS, 192.168.2.3, 59755, 192.168.2.1, 53): 1
(JSON, 52.84.122.135, 80, 192.168.2.3, 36250): 1
(DNS, 192.168.2.3, 38644, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 38891, 23.44.117.39, 443): 6
(TCP, 23.107.60.242, 80, 192.168.2.3, 50116): 5
(SSL, 31.13.71.7, 443, 192.168.2.3, 60210): 16
(TCP, 63.117.14.244, 443, 192.168.2.3, 34698): 4
(HTTP, 192.168.2.3, 34755, 54.239.22.5, 80): 1
(SSL, 216.58.219.202, 443, 192.168.2.3, 37910): 17
(DNS, 192.168.2.1, 53, 192.168.2.3, 34990): 1
(TCP, 192.168.2.3, 53066, 107.21.208.110, 80): 5
(TCP, 31.13.71.7, 443, 192.168.2.3, 60258): 24
(TCP, 192.168.2.3, 38743, 31.13.71.1, 443): 4
(SSL, 52.84.121.102, 443, 192.168.2.3, 37938): 10
(TCP, 172.229.233.57, 80, 192.168.2.3, 47997): 25
(HTTP, 192.168.2.3, 35465, 172.217.4.194, 80): 1
(SSL, 63.117.14.248, 443, 192.168.2.3, 43098): 3
(TCP, 157.52.75.7, 443, 192.168.2.3, 49619): 3
(HTTP, 192.168.2.3, 55576, 8.43.72.24, 80): 1
(SSL, 216.58.219.238, 443, 192.168.2.3, 40587): 6
(TCP, 192.168.2.3, 40591, 176.32.103.187, 443): 8
(HTTP, 192.168.2.3, 56873, 64.202.112.7, 80): 1
(TCP, 207.171.162.253, 443, 192.168.2.3, 50801): 6
(DNS, 192.168.2.3, 59669, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 55531, 192.229.163.25, 443): 98
(HTTP, 192.168.2.3, 50119, 23.107.60.242, 80): 1
(TCP, 192.168.2.3, 50879, 138.108.7.20, 80): 5
(SSL, 192.168.2.3, 46077, 52.200.43.126, 443): 3
(SSL, 63.117.14.154, 443, 192.168.2.3, 33652): 8
(IMAGE-JFIF, 172.229.228.216, 80, 192.168.2.3, 54579): 1
(XML, 23.235.46.73, 80, 192.168.2.3, 58088): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 21106): 1
(SSL, 192.168.2.3, 57377, 63.117.14.245, 443): 4
(TCP, 192.168.2.3, 35566, 172.217.4.193, 443): 7
(HTTP, 192.168.2.3, 59425, 50.19.227.142, 80): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 46470): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 36732): 1
(SSL, 192.168.2.3, 34009, 63.117.14.244, 443): 8
(TCP, 192.168.2.3, 54742, 54.239.17.7, 443): 8
(HTTP, 192.168.2.3, 49981, 152.163.64.2, 80): 2
(PNG, 52.84.122.135, 80, 192.168.2.3, 36214): 2
(SSL, 192.168.2.3, 51251, 216.58.219.193, 443): 3
(TCP, 192.168.2.3, 44471, 104.16.24.235, 80): 5
(TCP, 172.229.222.223, 80, 192.168.2.3, 43290): 2
(TCP, 52.11.29.182, 80, 192.168.2.3, 39946): 11
(TCP, 152.163.64.2, 80, 192.168.2.3, 49981): 3
(HTTP, 192.168.2.3, 42124, 64.12.245.38, 80): 2
(TCP, 63.117.68.16, 443, 192.168.2.3, 53572): 7
(DNS, 192.168.2.1, 53, 192.168.2.3, 33182): 1
(TCP, 192.168.2.3, 50012, 63.117.14.244, 443): 6
(SSL, 192.168.2.3, 43100, 63.117.14.248, 443): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 8593): 1
(TCP, 8.43.72.71, 80, 192.168.2.3, 39846): 3
(TCP, 192.168.2.3, 39945, 52.11.29.182, 80): 14
(TCP, 31.13.71.37, 443, 192.168.2.3, 52691): 5
(TCP, 192.168.2.3, 57167, 216.58.219.193, 80): 4
(HTTP, 192.168.2.3, 60725, 23.67.250.153, 80): 3
(TCP, 192.168.2.3, 36250, 52.84.122.135, 80): 6
(DNS, 192.168.2.1, 53, 192.168.2.3, 10829): 1
(TCP, 192.168.2.3, 37316, 72.21.215.54, 80): 8
(DNS, 192.168.2.1, 53, 192.168.2.3, 51015): 1
(SSL, 63.117.14.244, 443, 192.168.2.3, 43723): 27
(TCP, 52.22.158.44, 80, 192.168.2.3, 42488): 4
(TCP, 63.117.14.24, 443, 192.168.2.3, 59371): 14
(SSL, 192.168.2.3, 49648, 157.52.75.7, 443): 3
(DNS, 192.168.2.3, 17188, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 43379): 1
(SSL, 192.168.2.3, 37938, 52.84.121.102, 443): 4
(TCP, 64.20.243.242, 80, 192.168.2.3, 35834): 2
(HTTP, 192.168.2.3, 57210, 64.202.112.7, 80): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 41799): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 19030): 1
(TCP, 52.84.121.102, 443, 192.168.2.3, 32925): 5
(TCP, 193.149.47.98, 443, 192.168.2.3, 58278): 4
(HTTP, 192.168.2.3, 53708, 162.248.19.154, 80): 1
(TCP, 172.217.2.2, 80, 192.168.2.3, 56766): 2
(SSL, 192.168.2.3, 43391, 54.239.24.226, 443): 5
(TCP, 192.168.2.3, 45185, 172.217.5.1, 443): 13
(TCP, 192.168.2.3, 56874, 64.202.112.7, 80): 4
(TCP, 192.168.2.3, 46294, 172.217.4.194, 443): 11
(TCP, 52.22.245.238, 80, 192.168.2.3, 45394): 2
(HTTP, 50.19.227.142, 80, 192.168.2.3, 59425): 1
(TCP, 192.168.2.3, 33198, 23.21.52.141, 80): 10
(SSL, 31.13.71.1, 443, 192.168.2.3, 38743): 2
(SSL, 192.168.2.3, 40587, 216.58.219.238, 443): 3
(DNS, 192.168.2.3, 51448, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 45989, 72.21.215.54, 80): 5
(TCP, 70.34.16.45, 443, 192.168.2.3, 59569): 7
(HTTP, 72.21.215.54, 80, 192.168.2.3, 39467): 1
(HTTP, 192.168.2.3, 38907, 23.15.8.97, 80): 6
(HTTP, 192.168.2.3, 45989, 72.21.215.54, 80): 1
(TCP, 172.229.233.57, 80, 192.168.2.3, 48345): 5
(SSL, 192.168.2.3, 55571, 172.217.1.66, 443): 6
(TCP, 52.7.181.179, 80, 192.168.2.3, 50816): 4
(HTTP, 192.168.2.3, 46042, 184.26.44.97, 80): 1
(TCP, 192.168.2.3, 57168, 216.58.219.193, 80): 4
(TCP, 157.166.239.60, 80, 192.168.2.3, 44927): 5
(TCP, 192.168.2.3, 58278, 193.149.47.98, 443): 7
(XML, 54.172.168.55, 80, 192.168.2.3, 39110): 1
(TCP, 172.217.5.3, 443, 192.168.2.3, 47612): 1
(TCP, 192.168.2.3, 46944, 52.84.122.42, 80): 2028
(DNS, 192.168.2.3, 50961, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 29993): 1
(TCP, 172.217.5.10, 443, 192.168.2.3, 47887): 4
(TCP, 192.168.2.3, 60213, 31.13.71.7, 443): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 3041): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 18780): 1
(TCP, 54.239.26.167, 80, 192.168.2.3, 54445): 4
(SSL, 192.168.2.3, 43816, 207.171.162.130, 443): 4
(TCP, 50.19.227.142, 80, 192.168.2.3, 59425): 4
(SSL, 192.168.2.3, 60258, 31.13.71.7, 443): 6
(SSL, 192.168.2.3, 53715, 54.243.174.202, 443): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 19504): 1
(TCP, 192.168.2.3, 48552, 192.243.250.16, 80): 5
(TCP, 172.217.4.205, 443, 192.168.2.3, 36762): 9
(TCP, 192.168.2.3, 54767, 54.239.26.196, 443): 5
(TCP, 192.168.2.3, 41925, 192.243.250.36, 80): 3
(SSL, 207.171.162.130, 443, 192.168.2.3, 48002): 4
(DNS, 192.168.2.3, 1396, 192.168.2.1, 53): 1
(DATA-TEXT-LINES, 52.7.181.179, 80, 192.168.2.3, 50792): 1
(SSL, 192.168.2.3, 52037, 172.217.5.2, 443): 7
(TCP, 192.168.2.3, 39849, 8.43.72.71, 80): 13
(SSL, 63.117.14.244, 443, 192.168.2.3, 51902): 20
(TCP, 192.168.2.3, 44472, 172.217.2.14, 443): 10
(DNS, 192.168.2.3, 39830, 192.168.2.1, 53): 1
(SSL, 198.51.152.179, 443, 192.168.2.3, 47269): 5
(TCP, 207.171.162.253, 80, 192.168.2.3, 43292): 8
(DNS, 192.168.2.1, 53, 192.168.2.3, 20498): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 26111): 1
(HTTP, 192.168.2.3, 39851, 8.43.72.71, 80): 2
(SSL, 172.217.4.194, 443, 192.168.2.3, 46515): 45
(DNS, 192.168.2.3, 45064, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 10778): 1
(SSL, 63.117.14.244, 443, 192.168.2.3, 52240): 63
(HTTP, 192.168.2.3, 39894, 46.236.9.36, 80): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 47457): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 20140): 1
(SSL, 192.168.2.3, 40237, 172.217.5.10, 443): 17
(DNS, 192.168.2.3, 5332, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 59371, 63.117.14.24, 443): 24
(SSL, 192.168.2.3, 37928, 52.84.121.102, 443): 3
(DNS, 192.168.2.3, 33182, 192.168.2.1, 53): 1
(_WS.MALFORMED, 157.52.75.7, 443, 192.168.2.3, 49616): 1
(TCP, 192.168.2.3, 57618, 172.217.3.6, 443): 6
(SSL, 192.168.2.3, 53711, 204.154.111.224, 443): 4
(SSL, 192.168.2.3, 53413, 204.154.111.224, 443): 3
(SSL, 54.239.17.7, 443, 192.168.2.3, 59898): 7
(DNS, 192.168.2.3, 1029, 192.168.2.1, 53): 1
(TCP, 63.117.14.183, 443, 192.168.2.3, 52882): 11
(TCP, 172.217.4.193, 443, 192.168.2.3, 45996): 3
(TCP, 192.168.2.3, 50801, 207.171.162.253, 443): 6
(DATA-TEXT-LINES, 148.251.188.8, 80, 192.168.2.3, 34620): 2
(TCP, 192.168.2.3, 46025, 184.26.44.97, 80): 8
(TCP, 192.168.2.3, 45242, 77.66.54.155, 80): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 60442): 1
(TCP, 162.208.22.76, 443, 192.168.2.3, 39625): 4
(DNS, 192.168.2.3, 19981, 192.168.2.1, 53): 1
(SSL, 207.171.162.130, 443, 192.168.2.3, 42753): 4
(TCP, 54.165.6.83, 80, 192.168.2.3, 44612): 6
(HTTP, 72.21.215.54, 80, 192.168.2.3, 45744): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 6156): 1
(TCP, 192.168.2.3, 37457, 184.73.198.130, 80): 3
(URLENCODED-FORM, 192.168.2.3, 44927, 157.166.239.60, 80): 1
(TCP, 52.84.122.81, 443, 192.168.2.3, 52207): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 19606): 1
(DNS, 192.168.2.3, 47097, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 45481): 1
(SSL, 192.168.2.3, 51492, 31.13.71.36, 443): 6
(TCP, 207.171.162.130, 443, 192.168.2.3, 48524): 5
(SSL, 207.171.162.130, 443, 192.168.2.3, 48524): 4
(DNS, 192.168.2.3, 6974, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 49607, 157.52.75.7, 443): 21
(DNS, 192.168.2.1, 53, 192.168.2.3, 19738): 1
(TCP, 216.58.219.193, 443, 192.168.2.3, 47322): 7
(TCP, 54.239.17.7, 443, 192.168.2.3, 54742): 5
(MEDIA, 207.171.162.253, 80, 192.168.2.3, 43292): 1
(TCP, 192.168.2.3, 50790, 52.7.181.179, 80): 13
(HTTP, 192.168.2.3, 36311, 52.84.125.136, 80): 5
(SSL, 63.117.14.245, 443, 192.168.2.3, 53906): 14
(TCP, 192.168.2.3, 54840, 199.96.57.6, 443): 44
(HTTP, 192.168.2.3, 38675, 176.32.103.187, 80): 1
