Total packets,72588
,Protocol,Count
,ARP,24
,BOOTP,77
,DATA,55
,DATA-TEXT-LINES,70
,DB-LSP-DISC,31
,DNS,736
,EAPOL,9
,HTTP,1122
,IGMP,10
,IMAGE-GIF,75
,IMAGE-JFIF,32
,JSON,137
,MDNS,69
,MEDIA,32
,PNG,7
,SSL,13550
,TCP,56439
,URLENCODED-FORM,4
,XML,99
,_WS.MALFORMED,10

,Protocol,Percent
,ARP,0.0330633162506
,BOOTP,0.106078139637
,DATA,0.075770099741
,DATA-TEXT-LINES,0.0964346723976
,DB-LSP-DISC,0.0427067834904
,DNS,1.01394169835
,EAPOL,0.012398743594
,HTTP,1.54571003472
,IGMP,0.0137763817711
,IMAGE-GIF,0.103322863283
,IMAGE-JFIF,0.0440844216675
,HTTP,192.168.2.3,184.26.44.105,1
,HTTP,192.168.2.3,184.26.44.106,1
,HTTP,192.168.2.3,184.26.44.95,1
,HTTP,192.168.2.3,184.26.44.97,1
,HTTP,192.168.2.3,184.73.158.180,1
,HTTP,192.168.2.3,184.73.173.77,1
,HTTP,192.168.2.3,184.73.198.130,1
,HTTP,192.168.2.3,184.73.235.214,2
,HTTP,192.168.2.3,192.243.250.16,2
,HTTP,192.168.2.3,192.243.250.36,1
,HTTP,192.168.2.3,199.16.156.75,1
,HTTP,192.168.2.3,199.244.49.45,1
,HTTP,192.168.2.3,199.27.76.175,3
,HTTP,192.168.2.3,199.27.76.68,6
,HTTP,192.168.2.3,199.96.57.6,1
,HTTP,192.168.2.3,209.197.3.7,1
,HTTP,192.168.2.3,212.58.244.17,1
,HTTP,192.168.2.3,212.58.244.67,1
,HTTP,192.168.2.3,23.107.60.242,1
,HTTP,192.168.2.3,23.15.8.97,6
,HTTP,192.168.2.3,23.21.52.141,5
,HTTP,192.168.2.3,23.23.137.37,1
,HTTP,192.168.2.3,23.23.222.251,2
,HTTP,192.168.2.3,23.23.99.254,1
,HTTP,192.168.2.3,23.235.39.81,1
,HTTP,192.168.2.3,23.235.46.73,10
,HTTP,192.168.2.3,23.44.117.39,1
,HTTP,192.168.2.3,23.67.250.153,3
,HTTP,192.168.2.3,23.67.251.17,2
,HTTP,192.168.2.3,23.67.251.40,3
,HTTP,192.168.2.3,31.13.71.12,1
,HTTP,192.168.2.3,31.13.71.7,2
,HTTP,192.168.2.3,46.137.112.33,1
,HTTP,192.168.2.3,46.236.9.36,1
,HTTP,192.168.2.3,50.116.194.21,1
,HTTP,192.168.2.3,50.17.222.202,6
,HTTP,192.168.2.3,50.19.227.142,1
,HTTP,192.168.2.3,52.1.145.160,3
,HTTP,192.168.2.3,52.11.29.182,192
,HTTP,192.168.2.3,52.20.246.43,1
,HTTP,192.168.2.3,52.20.97.18,14
,HTTP,192.168.2.3,52.200.207.5,4
,HTTP,192.168.2.3,52.201.107.48,1
,HTTP,192.168.2.3,52.22.158.44,1
,HTTP,192.168.2.3,52.22.245.238,7
,HTTP,192.168.2.3,52.22.33.111,6
,HTTP,192.168.2.3,52.27.8.169,1
,HTTP,192.168.2.3,52.3.34.104,2
,HTTP,192.168.2.3,52.38.49.76,112
,HTTP,192.168.2.3,52.4.240.219,1
,HTTP,192.168.2.3,52.5.185.141,1
,HTTP,192.168.2.3,52.5.41.187,2
,HTTP,192.168.2.3,52.7.181.179,6
,HTTP,192.168.2.3,52.70.39.146,2
,HTTP,192.168.2.3,52.70.67.85,3
,HTTP,192.168.2.3,52.73.109.235,1
,HTTP,192.168.2.3,52.73.182.32,2
,HTTP,192.168.2.3,52.73.245.246,1
,HTTP,192.168.2.3,52.73.51.20,2
,HTTP,192.168.2.3,52.73.86.239,1
,HTTP,192.168.2.3,52.84.122.12,1
,HTTP,192.168.2.3,52.84.122.135,4
,HTTP,192.168.2.3,52.84.122.42,2
,HTTP,192.168.2.3,52.84.125.136,5
,HTTP,192.168.2.3,52.84.125.249,1
,HTTP,192.168.2.3,52.84.125.94,2
,HTTP,192.168.2.3,52.84.130.179,1
,HTTP,192.168.2.3,52.86.8.246,1
,HTTP,192.168.2.3,52.89.181.40,1
,HTTP,192.168.2.3,52.9.92.185,1
,HTTP,192.168.2.3,54.148.184.23,1
,HTTP,192.168.2.3,54.154.197.229,1
,HTTP,192.168.2.3,54.164.195.195,2
,HTTP,192.168.2.3,54.165.6.83,1
,HTTP,192.168.2.3,54.172.168.55,1
,HTTP,192.168.2.3,54.173.232.220,3
,HTTP,192.168.2.3,54.208.141.19,2
,HTTP,192.168.2.3,54.209.135.44,4
,HTTP,192.168.2.3,54.210.137.122,1
,HTTP,192.168.2.3,54.213.124.140,1
,HTTP,192.168.2.3,54.231.112.48,1
,HTTP,192.168.2.3,54.231.8.137,1
,HTTP,192.168.2.3,54.236.138.181,1
,HTTP,192.168.2.3,54.239.22.175,2
,HTTP,192.168.2.3,54.239.22.5,1
,HTTP,192.168.2.3,54.239.23.139,3
,HTTP,192.168.2.3,54.239.26.167,2
,HTTP,192.168.2.3,54.239.27.48,1
,HTTP,192.168.2.3,54.243.174.202,2
,HTTP,192.168.2.3,54.243.236.98,5
,HTTP,192.168.2.3,54.243.91.145,1
,HTTP,192.168.2.3,63.117.14.212,2
,HTTP,192.168.2.3,63.117.14.86,1
,HTTP,192.168.2.3,63.117.68.23,2
,HTTP,192.168.2.3,63.251.88.51,1
,HTTP,192.168.2.3,63.251.98.12,2
,HTTP,192.168.2.3,64.12.245.38,2
,HTTP,192.168.2.3,64.20.243.242,1
,HTTP,192.168.2.3,64.202.112.7,1
,HTTP,192.168.2.3,64.74.232.43,1
,HTTP,192.168.2.3,66.151.97.83,2
,HTTP,192.168.2.3,66.235.153.37,1
,HTTP,192.168.2.3,68.67.176.46,4
,HTTP,192.168.2.3,69.58.188.49,2
,HTTP,192.168.2.3,72.21.215.54,2
,HTTP,192.168.2.3,72.30.2.182,1
,HTTP,192.168.2.3,74.118.186.240,1
,HTTP,192.168.2.3,74.119.118.100,3
,HTTP,192.168.2.3,74.120.148.193,1
,HTTP,192.168.2.3,74.121.142.178,2
,HTTP,192.168.2.3,74.217.63.59,1
,HTTP,192.168.2.3,77.66.54.155,2
,HTTP,192.168.2.3,77.72.116.213,1
,HTTP,192.168.2.3,8.43.72.24,1
,HTTP,192.168.2.3,8.43.72.32,1
,HTTP,192.168.2.3,8.43.72.71,2
,HTTP,192.168.2.3,92.242.140.21,1
,HTTP,199.27.76.175,192.168.2.3,2
,HTTP,212.58.244.67,192.168.2.3,1
,HTTP,23.15.8.97,192.168.2.3,4
,HTTP,23.21.52.141,192.168.2.3,4
,HTTP,23.23.99.254,192.168.2.3,1
,HTTP,23.235.46.73,192.168.2.3,7
,HTTP,23.44.117.39,192.168.2.3,1
,HTTP,23.67.250.153,192.168.2.3,1
,HTTP,31.13.71.7,192.168.2.3,2
,HTTP,50.19.227.142,192.168.2.3,1
,HTTP,52.11.29.182,192.168.2.3,192
,HTTP,52.200.207.5,192.168.2.3,1
,HTTP,52.22.33.111,192.168.2.3,4
,HTTP,52.70.39.146,192.168.2.3,2
,HTTP,52.70.67.85,192.168.2.3,1
,HTTP,52.73.182.32,192.168.2.3,1
,HTTP,52.73.245.246,192.168.2.3,1
,HTTP,52.84.122.12,192.168.2.3,1
,HTTP,52.84.122.42,192.168.2.3,7
,HTTP,52.84.130.179,192.168.2.3,1
,HTTP,54.164.195.195,192.168.2.3,2
,HTTP,54.208.141.19,192.168.2.3,1
,HTTP,54.213.124.140,192.168.2.3,1
,HTTP,54.236.138.181,192.168.2.3,1
,HTTP,54.239.22.175,192.168.2.3,1
,HTTP,54.239.22.240,192.168.2.3,1
,HTTP,54.239.22.5,192.168.2.3,1
,HTTP,54.243.174.202,192.168.2.3,2
,HTTP,54.243.91.145,192.168.2.3,1
,HTTP,63.117.14.212,192.168.2.3,1
,HTTP,63.251.88.51,192.168.2.3,1
,HTTP,63.251.98.12,192.168.2.3,2
,HTTP,64.12.245.38,192.168.2.3,2
,HTTP,66.235.153.37,192.168.2.3,1
,HTTP,68.67.176.46,192.168.2.3,4
,HTTP,69.58.188.49,192.168.2.3,2
,HTTP,72.21.215.54,192.168.2.3,2
,HTTP,74.121.142.178,192.168.2.3,2
,HTTP,77.66.54.155,192.168.2.3,2
,HTTP,92.242.140.21,192.168.2.3,1
,IMAGE-GIF,107.22.236.9,192.168.2.3,1
,IMAGE-GIF,138.108.6.20,192.168.2.3,1
,IMAGE-GIF,138.108.7.20,192.168.2.3,1
,IMAGE-GIF,172.217.2.2,192.168.2.3,1
,IMAGE-GIF,172.217.2.6,192.168.2.3,1
,IMAGE-GIF,172.217.4.194,192.168.2.3,3
,IMAGE-GIF,176.32.103.187,192.168.2.3,1
,IMAGE-GIF,192.243.250.16,192.168.2.3,1
,IMAGE-GIF,199.16.156.75,192.168.2.3,1
,IMAGE-GIF,212.58.244.17,192.168.2.3,1
,IMAGE-GIF,23.15.8.97,192.168.2.3,2
,IMAGE-GIF,23.67.250.153,192.168.2.3,1
,IMAGE-GIF,23.67.251.40,192.168.2.3,3
,IMAGE-GIF,50.17.222.202,192.168.2.3,6
,IMAGE-GIF,52.200.207.5,192.168.2.3,1
,IMAGE-GIF,52.22.33.111,192.168.2.3,1
,IMAGE-GIF,52.27.8.169,192.168.2.3,1
,IMAGE-GIF,52.70.39.146,192.168.2.3,1
,IMAGE-GIF,52.70.67.85,192.168.2.3,2
,IMAGE-GIF,52.73.182.32,192.168.2.3,1
,IMAGE-GIF,52.73.51.20,192.168.2.3,2
,IMAGE-GIF,52.84.122.135,192.168.2.3,1
,IMAGE-GIF,52.84.125.249,192.168.2.3,1
,IMAGE-GIF,54.148.184.23,192.168.2.3,1
,IMAGE-GIF,54.154.197.229,192.168.2.3,1
