(highest, src_addr, src_port, dst_addr, dst_port): count
(TCP, 72.21.214.13, 443, 192.168.2.3, 40628): 8
(IMAGE-JFIF, 172.229.233.57, 80, 192.168.2.3, 47370): 2
(TCP, 192.168.2.3, 45249, 184.26.44.97, 80): 8
(TCP, 173.192.220.64, 80, 192.168.2.3, 44538): 2
(HTTP, 192.168.2.3, 45250, 184.26.44.97, 80): 8
(TCP, 192.168.2.3, 48484, 138.108.7.20, 443): 27
(DNS, 192.168.2.3, 9896, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 54181, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 47368, 172.229.233.57, 80): 8
(HTTP, 192.168.2.3, 57135, 54.239.22.175, 80): 1
(SSL, 192.168.2.3, 44273, 52.86.247.32, 443): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 54057): 1
(MEDIA, 199.27.76.73, 80, 192.168.2.3, 59276): 2
(TCP, 192.168.2.3, 57305, 207.171.162.130, 443): 7
(IMAGE-GIF, 63.88.100.139, 80, 192.168.2.3, 37477): 1
(TCP, 192.168.2.3, 50227, 54.239.25.192, 443): 11
(TCP, 192.168.2.3, 57812, 216.58.219.238, 443): 9
(DNS, 192.168.2.3, 49345, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 47370, 172.229.233.57, 80): 19
(DNS, 192.168.2.1, 53, 192.168.2.3, 1362): 1
(SSL, 192.168.2.3, 52117, 207.171.162.130, 443): 4
(TCP, 172.217.4.46, 443, 192.168.2.3, 55057): 3
(PNG, 172.229.233.57, 80, 192.168.2.3, 47362): 1
(TCP, 192.168.2.3, 51328, 207.171.162.130, 443): 9
(SSL, 216.58.219.238, 443, 192.168.2.3, 59377): 62
(SSL, 192.168.2.3, 44618, 208.80.154.240, 443): 94
(TCP, 192.168.2.3, 49045, 72.21.211.0, 80): 5
(SSL, 192.168.2.3, 43247, 216.58.219.234, 443): 5
(TCP, 54.148.184.23, 80, 192.168.2.3, 35400): 4
(SSL, 192.168.2.3, 52799, 204.154.111.224, 443): 3
(HTTP, 192.168.2.3, 59278, 199.27.76.73, 80): 2
(SSL, 172.217.2.10, 443, 192.168.2.3, 42574): 10
(JSON, 192.168.2.3, 36878, 54.239.26.167, 80): 1
(DNS, 192.168.2.3, 60109, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 3462): 1
(HTTP, 192.168.2.3, 56133, 172.229.214.12, 80): 1
(TCP, 192.168.2.3, 34880, 172.217.3.14, 443): 11
(JSON, 157.166.248.229, 80, 192.168.2.3, 58227): 1
(TCP, 184.26.44.97, 80, 192.168.2.3, 45214): 53
(SSL, 207.171.162.130, 443, 192.168.2.3, 40386): 4
(DNS, 192.168.2.3, 47709, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 36425, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 52550, 212.58.244.115, 80): 5
(HTTP, 192.168.2.3, 41040, 92.242.140.21, 80): 1
(DNS, 192.168.2.3, 32956, 192.168.2.1, 53): 1
(HTTP, 192.168.2.3, 50129, 72.21.211.0, 80): 1
(TCP, 207.171.162.130, 443, 192.168.2.3, 56884): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 40475): 1
(DNS, 192.168.2.3, 31301, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 48147, 216.58.219.194, 443): 33
(TCP, 192.168.2.3, 38756, 216.58.219.230, 443): 23
(SSL, 50.19.118.19, 443, 192.168.2.3, 56779): 5
(_WS.MALFORMED, 172.229.228.216, 80, 192.168.2.3, 38918): 1
(TCP, 172.217.1.78, 443, 192.168.2.3, 53520): 5
(XML, 172.229.214.12, 80, 192.168.2.3, 56137): 1
(TCP, 54.239.28.191, 443, 192.168.2.3, 33057): 7
(TCP, 172.217.3.14, 443, 192.168.2.3, 37842): 4
(TCP, 199.16.156.232, 443, 192.168.2.3, 56593): 2
(DNS, 192.168.2.1, 53, 192.168.2.3, 40037): 1
(TCP, 192.168.2.3, 36878, 54.239.26.167, 80): 22
(TCP, 192.168.2.3, 57687, 172.217.3.1, 443): 25
(TCP, 157.166.249.67, 80, 192.168.2.3, 52756): 4
(SSL, 216.58.219.206, 443, 192.168.2.3, 51218): 307
(IMAGE-GIF, 199.16.156.11, 80, 192.168.2.3, 57618): 1
(TCP, 72.21.211.0, 80, 192.168.2.3, 50129): 2
(TCP, 192.168.2.3, 48873, 205.251.242.2, 443): 5
(TCP, 192.168.2.3, 38756, 23.37.13.125, 80): 24
(DATA-TEXT-LINES, 199.27.76.73, 80, 192.168.2.3, 59274): 4
(TCP, 216.58.219.234, 443, 192.168.2.3, 54909): 4
(TCP, 192.168.2.3, 39300, 216.58.219.193, 443): 706
(DNS, 192.168.2.3, 62596, 192.168.2.1, 53): 1
