Total packets,82439
,Protocol,Count
,ARP,50
,BOOTP,136
,DATA,60
,DATA-TEXT-LINES,86
,DNS,552
,EAPOL,12
,HTTP,362
,IGMP,9
,IMAGE-GIF,33
,IMAGE-JFIF,50
,JSON,15
,MDNS,34
,MEDIA,68
,MP4,2
,PNG,16
,SSL,17878
,TCP,63047
,URLENCODED-FORM,6
,XML,8
,_WS.MALFORMED,15

,Protocol,Percent
,ARP,0.060650905518
,BOOTP,0.164970463009
,DATA,0.0727810866216
,DATA-TEXT-LINES,0.104319557491
,DNS,0.669585996919
,EAPOL,0.0145562173243
,HTTP,0.43911255595
,IGMP,0.0109171629932
,IMAGE-GIF,0.0400295976419
,IMAGE-JFIF,0.060650905518
,JSON,0.0181952716554
,HTTP,192.168.2.3,23.37.13.125,1
,HTTP,192.168.2.3,31.13.71.7,2
,HTTP,192.168.2.3,50.31.185.39,1
,HTTP,192.168.2.3,52.33.219.196,1
,HTTP,192.168.2.3,52.73.132.68,1
,HTTP,192.168.2.3,52.84.125.40,1
,HTTP,192.168.2.3,52.84.125.76,6
,HTTP,192.168.2.3,52.85.90.226,3
,HTTP,192.168.2.3,54.148.184.23,1
,HTTP,192.168.2.3,54.175.226.36,1
,HTTP,192.168.2.3,54.192.54.206,1
,HTTP,192.168.2.3,54.231.49.64,1
,HTTP,192.168.2.3,54.235.195.128,3
,HTTP,192.168.2.3,54.236.84.167,2
,HTTP,192.168.2.3,54.239.22.175,1
,HTTP,192.168.2.3,54.239.22.50,1
,HTTP,192.168.2.3,54.239.23.147,2
,HTTP,192.168.2.3,54.239.26.167,1
,HTTP,192.168.2.3,54.240.190.108,14
,HTTP,192.168.2.3,54.240.190.134,1
,HTTP,192.168.2.3,54.240.190.159,1
,HTTP,192.168.2.3,54.240.190.172,1
,HTTP,192.168.2.3,54.240.190.185,1
,HTTP,192.168.2.3,54.243.111.133,1
,HTTP,192.168.2.3,54.243.146.37,1
,HTTP,192.168.2.3,54.84.63.59,4
,HTTP,192.168.2.3,63.117.14.218,1
,HTTP,192.168.2.3,63.88.100.139,3
,HTTP,192.168.2.3,63.88.100.154,1
,HTTP,192.168.2.3,63.88.100.163,1
