(highest, src_addr, src_port, dst_addr, dst_port): count
(TCP, 216.58.219.226, 80, 192.168.2.3, 55232): 22
(TCP, 192.168.2.3, 43910, 216.58.219.202, 443): 12
(TCP, 192.168.2.3, 52039, 172.217.1.66, 80): 6
(SSL, 50.16.192.144, 443, 192.168.2.3, 42739): 6
(TCP, 192.168.2.3, 58531, 173.194.63.71, 443): 11
(_WS.MALFORMED, 46.236.9.36, 80, 192.168.2.3, 39505): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 30378): 1
(TCP, 54.239.24.185, 443, 192.168.2.3, 60064): 4
(SSL, 192.168.2.3, 53229, 204.154.111.224, 443): 4
(TCP, 54.243.185.237, 443, 192.168.2.3, 54686): 8
(HTTP, 192.168.2.3, 56453, 172.229.214.12, 80): 1
(TCP, 192.168.2.3, 53261, 66.152.183.173, 80): 186
(TCP, 52.2.146.27, 80, 192.168.2.3, 43342): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 10736): 1
(TCP, 63.88.100.144, 80, 192.168.2.3, 48988): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 3310): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 1933): 1
(SSL, 192.168.2.3, 36234, 216.58.219.238, 443): 12
(SSL, 192.168.2.3, 42050, 104.64.50.50, 443): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 61104): 1
(SSL, 107.21.246.116, 443, 192.168.2.3, 42775): 5
(SSL, 104.64.50.50, 443, 192.168.2.3, 42051): 17
(TCP, 216.58.219.202, 443, 192.168.2.3, 48495): 5
(TCP, 192.168.2.3, 52080, 107.20.225.87, 80): 13
(SSL, 54.239.22.240, 443, 192.168.2.3, 37798): 10
(TCP, 192.168.2.3, 53641, 184.26.44.97, 80): 19
(TCP, 104.16.110.236, 80, 192.168.2.3, 53664): 2
(TCP, 216.58.219.193, 443, 192.168.2.3, 36606): 6
(SSL, 172.217.5.14, 443, 192.168.2.3, 44404): 10
(HTTP, 192.168.2.3, 56470, 184.26.44.97, 80): 2
(TCP, 192.168.2.3, 47638, 172.229.233.57, 80): 26
(TCP, 172.217.2.6, 443, 192.168.2.3, 44667): 10
(HTTP, 192.168.2.3, 41213, 54.197.253.149, 80): 4
(SSL, 172.217.2.14, 443, 192.168.2.3, 50926): 34
(TCP, 184.26.44.97, 80, 192.168.2.3, 53641): 18
(TCP, 216.58.219.227, 443, 192.168.2.3, 34175): 9
(TCP, 54.197.253.149, 80, 192.168.2.3, 41213): 6
(DNS, 192.168.2.1, 53, 192.168.2.3, 1245): 1
(TCP, 184.26.44.97, 80, 192.168.2.3, 55334): 10
(SSL, 192.168.2.3, 46189, 23.21.214.118, 443): 7
(TCP, 216.58.219.206, 443, 192.168.2.3, 52182): 4
(SSL, 172.217.4.33, 443, 192.168.2.3, 48183): 10
(DNS, 192.168.2.1, 53, 192.168.2.3, 1785): 1
(SSL, 54.239.25.192, 443, 192.168.2.3, 60599): 64
(TCP, 63.117.68.16, 443, 192.168.2.3, 53074): 2905
(TCP, 184.73.162.65, 80, 192.168.2.3, 45330): 5
(IMAGE-JFIF, 172.229.233.57, 80, 192.168.2.3, 47641): 3
(HTTP, 192.168.2.3, 55232, 23.246.7.149, 80): 43
(DNS, 192.168.2.3, 16644, 192.168.2.1, 53): 1
(SSL, 172.217.2.2, 443, 192.168.2.3, 56615): 5
(TCP, 23.76.230.150, 443, 192.168.2.3, 35999): 3
(TCP, 172.217.2.14, 443, 192.168.2.3, 37020): 3
(TCP, 157.166.249.204, 80, 192.168.2.3, 55421): 5
(SSL, 192.168.2.3, 60211, 23.37.29.165, 443): 2
(TCP, 216.58.219.193, 80, 192.168.2.3, 56682): 2
(TCP, 192.168.2.3, 42775, 107.21.246.116, 443): 12
(DNS, 192.168.2.3, 34609, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 36000, 23.76.230.150, 443): 3
(TCP, 172.217.2.14, 443, 192.168.2.3, 43287): 5
(DNS, 192.168.2.3, 46658, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 37838, 184.26.44.97, 80): 29
(SSL, 192.168.2.3, 60269, 172.217.2.14, 443): 4
(MEDIA, 74.120.148.191, 80, 192.168.2.3, 58491): 1
(TCP, 192.168.2.3, 35682, 173.241.250.143, 443): 8
(TCP, 192.168.2.3, 39148, 23.37.13.125, 80): 15
(HTTP, 54.239.22.240, 80, 192.168.2.3, 50891): 2
(TCP, 68.67.152.98, 443, 192.168.2.3, 54630): 5
(TCP, 192.168.2.3, 42240, 199.166.0.200, 443): 8
(TCP, 192.168.2.3, 53901, 184.26.44.97, 80): 16
(HTTP, 192.168.2.3, 49777, 54.172.101.29, 80): 4
(TCP, 192.168.2.3, 53664, 104.16.110.236, 80): 4
(SSL, 192.168.2.3, 37797, 54.239.22.240, 443): 4
(HTTP, 192.168.2.3, 39150, 23.37.13.125, 80): 1
(TCP, 192.168.2.3, 33725, 68.67.176.132, 443): 7
(TCP, 192.168.2.3, 57931, 173.194.204.154, 443): 13
(TCP, 172.217.2.14, 443, 192.168.2.3, 37019): 10
(TCP, 192.168.2.3, 46417, 107.22.237.47, 80): 5
(TCP, 184.26.44.97, 80, 192.168.2.3, 56470): 19
(DNS, 192.168.2.1, 53, 192.168.2.3, 64572): 1
(TCP, 54.239.25.192, 443, 192.168.2.3, 55309): 5
(SSL, 52.84.121.209, 443, 192.168.2.3, 53054): 7
(TCP, 192.168.2.3, 57614, 23.76.218.7, 443): 9
(DNS, 192.168.2.1, 53, 192.168.2.3, 51794): 1
(PNG, 172.229.214.12, 80, 192.168.2.3, 56504): 1
(DNS, 192.168.2.3, 63457, 192.168.2.1, 53): 1
(TCP, 54.235.140.195, 80, 192.168.2.3, 47712): 4
(SSL, 72.21.203.106, 443, 192.168.2.3, 41143): 11
(DNS, 192.168.2.3, 51621, 192.168.2.1, 53): 1
(TCP, 172.217.2.14, 443, 192.168.2.3, 54852): 5
(TCP, 54.239.23.82, 443, 192.168.2.3, 48266): 3
(TCP, 192.168.2.3, 51981, 172.217.1.66, 80): 5
(DNS, 192.168.2.3, 21367, 192.168.2.1, 53): 1
(SSL, 23.23.105.201, 443, 192.168.2.3, 43163): 8
(TCP, 192.168.2.3, 54630, 68.67.152.98, 443): 7
(TCP, 192.168.2.3, 39137, 23.37.13.125, 80): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 49294): 1
(TCP, 192.168.2.3, 55697, 216.58.219.198, 443): 35
(DNS, 192.168.2.3, 33152, 192.168.2.1, 53): 1
(HTTP, 192.168.2.3, 56506, 172.229.214.12, 80): 1
(MEDIA, 23.246.7.149, 80, 192.168.2.3, 55232): 45
(HTTP, 72.21.215.54, 80, 192.168.2.3, 40029): 1
(DNS, 192.168.2.3, 50216, 192.168.2.1, 53): 1
(IMAGE-JFIF, 184.26.44.97, 80, 192.168.2.3, 50163): 1
(TCP, 192.168.2.3, 45119, 23.76.235.161, 443): 9
(TCP, 192.168.2.3, 56504, 172.229.214.12, 80): 115
(TCP, 54.240.190.61, 80, 192.168.2.3, 60004): 250
(DNS, 192.168.2.1, 53, 192.168.2.3, 6413): 1
(HTTP, 192.168.2.3, 52394, 23.67.251.25, 80): 1
(HTTP, 212.58.244.67, 80, 192.168.2.3, 46141): 1
